protocol,payload_mode,subscribers,payload_bytes,topology,iteration,updates_per_second,per_sub_updates_per_second,total_updates,drops,errors,duration_seconds
CA,raw,10,10,loopback,4,53646,5364.6,268499,40342411,0,5.00501
CA,raw,10,10,loopback,5,45495.6,4549.56,227706,40155964,0,5.00501
CA,raw,100,10,loopback,1,19695.7,196.957,98541,69767259,0,5.00318
CA,raw,100,10,loopback,2,17262.1,172.621,86370,71789535,0,5.00345
CA,raw,100,10,loopback,3,16213,162.13,81141,71913059,0,5.00467
CA,raw,100,10,loopback,4,18015.6,180.156,90142,72011258,0,5.00354
CA,raw,100,10,loopback,5,17453.7,174.537,87288,72241327,0,5.00111
CA,raw,500,10,loopback,1,64453.4,128.907,322590,76982478,0,5.00501
CA,raw,500,10,loopback,2,63697.8,127.396,318725,75843894,0,5.0037
CA,raw,500,10,loopback,3,60400.7,120.801,302051,71774544,0,5.00078
CA,raw,500,10,loopback,4,65390.6,130.781,327081,77369669,0,5.00196
CA,raw,500,10,loopback,5,65142.2,130.284,325870,77258482,0,5.00244
CA,raw,1000,10,loopback,1,59447,59.447,297523,79360353,0,5.00484
CA,raw,1000,10,loopback,2,58966.2,58.9662,294902,79567636,0,5.00121
CA,raw,1000,10,loopback,3,58446.5,58.4465,292471,79835152,0,5.00408
CA,raw,1000,10,loopback,4,59002.9,59.0029,295258,79565414,0,5.00413
CA,raw,1000,10,loopback,5,58900.6,58.9006,294791,79584081,0,5.00489
CA,raw,1,100,loopback,1,22884.1,22884.1,114504,11908771,0,5.00364
CA,raw,1,100,loopback,2,19269.4,19269.4,96437,12010194,0,5.00467
CA,raw,1,100,loopback,3,19727.3,19727.3,98725,11843006,0,5.00448
CA,raw,1,100,loopback,4,19228.2,19228.2,96148,12049700,0,5.00037
CA,raw,1,100,loopback,5,20312.3,20312.3,101661,11251844,0,5.0049
CA,raw,10,100,loopback,1,85867.8,8586.78,429597,39736776,0,5.003
CA,raw,10,100,loopback,2,49830.6,4983.06,249381,36143638,0,5.00457
CA,raw,10,100,loopback,3,52499.3,5249.93,262760,39887930,0,5.00502
CA,raw,10,100,loopback,4,75215.1,7521.51,376453,39853077,0,5.00502
CA,raw,10,100,loopback,5,51217,5121.7,256187,39494343,0,5.00199
CA,raw,100,100,loopback,1,15601.4,156.014,78082,72610527,0,5.00479
CA,raw,100,100,loopback,2,18442.4,184.424,92213,71534952,0,5.00005
CA,raw,100,100,loopback,3,17249.6,172.496,86249,71882396,0,5.00007
CA,raw,100,100,loopback,4,17479.1,174.791,87445,72442655,0,5.00284
CA,raw,100,100,loopback,5,17243.8,172.438,86291,72358234,0,5.00419
CA,raw,500,100,loopback,1,64439.5,128.879,322521,75729933,0,5.00502
CA,raw,500,100,loopback,2,63802.6,127.605,319333,75266430,0,5.00501
CA,raw,500,100,loopback,3,65345.6,130.691,326821,76750167,0,5.00142
CA,raw,500,100,loopback,4,63936.5,127.873,320004,76606559,0,5.00503
CA,raw,500,100,loopback,5,64303.7,128.607,321774,77126762,0,5.00397
CA,raw,1000,100,loopback,1,59248.1,59.2481,296349,79893131,0,5.00183
CA,raw,1000,100,loopback,2,59167.3,59.1673,296065,79843654,0,5.00386
CA,raw,1000,100,loopback,3,58274.1,58.2741,291522,79093238,0,5.0026
CA,raw,1000,100,loopback,4,56935.5,56.9355,284965,78818591,0,5.00505
CA,raw,1000,100,loopback,5,59499.5,59.4995,297792,79331178,0,5.00495
CA,raw,1,1000,loopback,1,43912.7,43912.7,219615,10999275,0,5.00117
CA,raw,1,1000,loopback,2,42323.3,42323.3,211738,10530093,0,5.00287
CA,raw,1,1000,loopback,3,46069.8,46069.8,230465,10688807,0,5.00251
CA,raw,1,1000,loopback,4,43871.4,43871.4,219557,10660008,0,5.00456
CA,raw,1,1000,loopback,5,46457.9,46457.9,232502,10608116,0,5.00457
CA,raw,10,1000,loopback,1,206670,20667,1034385,36413225,0,5.00502
CA,raw,10,1000,loopback,2,108312,10831.2,541962,37596655,0,5.0037
CA,raw,10,1000,loopback,3,206055,20605.5,1031020,36764427,0,5.00361
CA,raw,10,1000,loopback,4,179647,17964.7,899054,36966434,0,5.00456
CA,raw,10,1000,loopback,5,118862,11886.2,594887,37187943,0,5.00487
CA,raw,100,1000,loopback,1,21113.2,211.132,105606,70478238,0,5.00189
